alpha,tau,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.075,6.0,25749.7,15928.0,9821.7,0.1776
0.075,7.0,30086.6,16544.0,13542.6,0.2366
0.075,8.0,34264.7,17145.0,17119.7,0.2938
0.075,9.0,38284.2,17730.1,20554.1,0.3492
0.075,10.0,42145.0,18298.7,23846.3,0.4028
0.075,11.0,45766.3,18832.0,26934.3,0.4533
0.075,12.0,49397.0,19298.9,30098.1,0.5046
0.075,13.0,52750.3,19650.1,33100.2,0.5541
0.075,14.0,56049.0,20308.9,35740.1,0.5981
0.075,15.0,59071.9,20923.2,38148.7,0.6397
0.075,16.0,62135.6,21250.2,40885.3,0.6855
0.075,17.0,64914.2,21552.9,43361.3,0.7275
0.075,18.0,67659.7,22121.1,45538.6,0.7657
0.075,19.0,70154.4,22645.6,47508.8,0.8008
0.075,20.0,72679.2,22925.2,49754.0,0.8396
0.075,21.0,74942.6,23407.8,51534.8,0.8719
0.075,22.0,77230.9,23665.1,53565.8,0.9075
0.075,23.0,79300.0,23901.2,55398.9,0.9403
0.075,24.0,81348.1,24343.7,57004.4,0.97
0.075,25.0,83197.2,24748.4,58448.8,0.9973
0.075,26.0,85065.5,24964.5,60101.0,1.0274
0.075,27.0,86735.1,25334.2,61400.9,1.0524
0.075,28.0,88421.9,25531.6,62890.3,1.0799
0.075,29.0,89943.1,25711.7,64231.4,1.105
0.075,30.0,91449.8,26048.7,65401.1,1.1279
0.1,0.0,-4532.1,15761.6,-20293.7,-0.2752
0.1,1.0,613.9,16645.1,-16031.2,-0.2108
0.1,2.0,5634.2,17520.3,-11886.1,-0.1484
0.1,3.0,10529.2,18385.7,-7856.5,-0.0869
0.1,4.0,15291.7,19240.0,-3948.3,-0.0251
0.1,5.0,19895.6,20076.9,-181.3,0.0341
0.1,6.0,24347.0,20896.5,3450.5,0.0919
0.1,7.0,28647.0,21697.9,6949.1,0.148
0.1,8.0,32791.3,22479.5,10311.8,0.2024
0.1,9.0,36777.8,23240.3,13537.4,0.2551
0.1,10.0,40608.6,23979.6,16629.0,0.3061
0.1,11.0,44211.6,24685.7,19525.9,0.3545
0.1,12.0,47814.6,25391.8,22422.9,0.403
0.1,13.0,51113.4,26050.6,25062.8,0.447
0.1,14.0,54412.2,26709.4,27702.8,0.491
0.1,15.0,57435.1,27323.7,30111.4,0.5326
0.1,16.0,60458.0,27938.0,32520.0,0.5741
0.1,17.0,63203.5,28506.3,34697.2,0.6123
0.1,18.0,65949.0,29074.5,36874.4,0.6504
0.1,19.0,68443.7,29599.0,38844.7,0.6856
0.1,20.0,70938.3,30123.4,40814.9,0.7207
0.1,21.0,73201.8,30606.0,42595.8,0.7531
0.1,22.0,75465.2,31088.6,44376.6,0.7854
0.1,23.0,77513.3,31531.1,45982.2,0.8151
0.1,24.0,79561.4,31973.7,47587.7,0.8449
0.1,25.0,81410.5,32378.4,49032.1,0.8722
0.1,26.0,83259.6,32783.1,50476.4,0.8994
0.1,27.0,84929.1,33152.7,51776.4,0.9244
0.1,28.0,86598.7,33522.4,53076.3,0.9494
0.1,29.0,88105.4,33859.4,54246.0,0.9723
0.1,30.0,89612.0,34196.4,55415.7,0.9951
0.125,0.0,-5658.4,19430.8,-25089.3,-0.3404
0.125,1.0,-568.8,20511.1,-21079.9,-0.2799
0.125,2.0,4405.5,21583.0,-17177.5,-0.22
0.125,3.0,9253.8,22642.3,-13388.5,-0.1617
0.125,4.0,13970.3,23687.6,-9717.2,-0.1032
0.125,5.0,18533.8,24712.2,-6178.4,-0.0469
0.125,6.0,22945.4,25715.4,-2770.1,0.0079
0.125,7.0,27207.6,26696.1,511.5,0.0613
0.125,8.0,31317.1,27652.6,3664.5,0.113
0.125,9.0,35271.1,28583.7,6687.4,0.1631
0.125,10.0,39071.3,29488.3,9583.0,0.2115
0.125,11.0,42651.5,30279.5,12372.0,0.2586
0.125,12.0,46220.4,31132.9,15087.4,0.3046
0.125,13.0,49471.6,32082.6,17389.0,0.3444
0.125,14.0,52770.3,32741.4,20028.9,0.3884
0.125,15.0,55793.2,33355.7,22437.5,0.4299
0.125,16.0,58773.7,34240.7,24533.0,0.4674
0.125,17.0,61519.2,34808.9,26710.2,0.5056
0.125,18.0,64230.1,35627.7,28602.4,0.54
0.125,19.0,66724.8,36152.2,30572.6,0.5752
0.125,20.0,69187.6,36907.5,32280.1,0.6069
0.125,21.0,71451.0,37390.1,34060.9,0.6392
0.125,22.0,73687.3,38085.1,35602.1,0.6684
0.125,23.0,75713.3,38722.8,36990.5,0.6952
0.125,24.0,77761.4,39165.3,38596.1,0.7249
0.125,25.0,79591.5,39748.5,39843.0,0.7495
0.125,26.0,81440.6,40153.2,41287.4,0.7768
0.125,27.0,83092.8,40685.5,42407.4,0.7994
0.125,28.0,84762.4,41055.1,43707.3,0.8244
0.125,29.0,86269.1,41392.1,44877.0,0.8472
0.125,30.0,87760.2,41877.3,45882.9,0.8679
0.15,0.0,-6781.5,22999.6,-29781.1,-0.4043
0.15,1.0,-1748.7,24270.0,-26018.7,-0.3477
0.15,2.0,3179.5,25532.7,-22353.2,-0.2903
0.15,3.0,7980.3,26779.6,-18799.3,-0.235
0.15,4.0,12639.8,28007.2,-15367.4,-0.1809
0.15,5.0,17173.4,29216.6,-12043.2,-0.1263
0.15,6.0,21544.6,30397.7,-8853.1,-0.0743
0.15,7.0,25768.8,31552.4,-5783.6,-0.0237
0.15,8.0,29842.9,32678.5,-2835.6,0.0254
0.15,9.0,33764.1,33774.7,-10.6,0.0729
0.15,10.0,37533.4,34839.8,2693.6,0.1189
0.15,11.0,41079.8,35856.9,5222.8,0.1626
0.15,12.0,44626.1,36874.1,7752.0,0.2063
0.15,13.0,47877.3,37823.7,10053.6,0.246
0.15,14.0,51128.5,38773.4,12355.1,0.2858
0.15,15.0,54108.9,39658.4,14450.6,0.3232
0.15,16.0,57089.4,40543.3,16546.0,0.3607
0.15,17.0,59800.3,41362.2,18438.2,0.3952
0.15,18.0,62511.2,42181.0,20330.3,0.4296
0.15,19.0,64974.1,42936.3,22037.8,0.4613
0.15,20.0,67436.9,43691.6,23745.3,0.493
0.15,21.0,69673.1,44386.7,25286.5,0.5222
0.15,22.0,71909.4,45081.7,26827.7,0.5513
0.15,23.0,73935.4,45719.4,28216.1,0.5781
0.15,24.0,75961.5,46357.0,29604.5,0.605
0.15,25.0,77791.5,46940.1,30851.4,0.6296
0.15,26.0,79621.6,47523.3,32098.3,0.6542
0.15,27.0,81273.8,48055.5,33218.3,0.6768
0.15,28.0,82926.1,48587.8,34338.3,0.6994
0.15,29.0,84417.3,49073.0,35344.3,0.72
0.15,30.0,85908.4,49558.2,36350.2,0.7407
0.175,0.0,-7900.7,26461.2,-34361.8,-0.4667
0.175,1.0,-2913.9,27917.6,-30831.5,-0.4123
0.175,2.0,1964.6,29363.7,-27399.1,-0.3578
0.175,3.0,6709.3,30789.5,-24080.2,-0.3066
0.175,4.0,11323.2,32195.4,-20872.2,-0.2555
0.175,5.0,15814.2,33580.8,-17766.6,-0.2039
0.175,6.0,20145.3,34933.9,-14788.6,-0.1546
0.175,7.0,24330.8,36256.7,-11925.9,-0.1067
0.175,8.0,28369.3,37547.0,-9177.7,-0.0603
0.175,9.0,32256.8,38802.7,-6545.9,-0.0152
0.175,10.0,35994.6,40023.0,-4028.4,0.0283
0.175,11.0,39517.8,41118.4,-1600.7,0.0707
0.175,12.0,43029.3,42272.3,757.0,0.1121
0.175,13.0,46280.5,43222.0,3058.5,0.1519
0.175,14.0,49489.1,44447.3,5041.8,0.1883
0.175,15.0,52419.3,45584.6,6834.7,0.2211
0.175,16.0,55399.7,46469.6,8930.1,0.2586
0.175,17.0,58075.1,47524.3,10550.7,0.2895
0.175,18.0,60786.0,48343.2,12442.9,0.3239
0.175,19.0,63248.8,49098.5,14150.4,0.3556
0.175,20.0,65678.0,50070.9,15607.1,0.384
0.175,21.0,67914.3,50765.9,17148.3,0.4131
0.175,22.0,70121.5,51660.9,18460.6,0.4393
0.175,23.0,72123.1,52482.1,19641.0,0.4633
