alpha,phi,d_units_net,d_units_affordable,d_units_market,d_rent_pct
0.725,0.5,3268.7,114605.1,-111336.4,-1.1383
0.725,0.5333,5173.3,116467.4,-111294.1,-1.1126
0.725,0.5667,7115.0,118303.8,-111188.9,-1.0852
0.725,0.6,9093.8,120114.5,-111020.8,-1.0564
0.725,0.6333,10920.2,121760.7,-110840.5,-1.0284
0.725,0.6667,12715.6,123434.2,-110718.6,-1.0018
0.725,0.7,14480.1,125135.0,-110655.0,-0.9764
0.725,0.7333,16109.4,126677.7,-110568.3,-0.9517
0.725,0.7667,17759.7,128187.3,-110427.6,-0.9264
0.725,0.8,19430.8,129663.7,-110232.9,-0.9004
0.725,0.8333,20900.8,131027.2,-110126.4,-0.8781
0.725,0.8667,22397.4,132367.7,-109970.3,-0.8545
0.725,0.9,23920.4,133685.1,-109764.6,-0.8296
0.725,0.9333,25282.6,134834.6,-109552.1,-0.8064
0.725,0.9667,26626.5,136011.0,-109384.5,-0.7841
0.725,1.0,27952.3,137214.2,-109261.9,-0.7626
0.75,0.0,-32395.1,81869.7,-114264.8,-1.5563
0.75,0.0333,-29948.9,84438.8,-114387.7,-1.5346
0.75,0.0667,-27502.7,87007.9,-114510.5,-1.513
0.75,0.1,-25056.5,89577.0,-114633.4,-1.4913
0.75,0.1333,-22678.6,92052.3,-114730.9,-1.4678
0.75,0.1667,-20300.8,94527.6,-114828.4,-1.4443
0.75,0.2,-17923.0,97003.0,-114925.9,-1.4208
0.75,0.2333,-15627.8,99352.2,-114980.0,-1.3958
0.75,0.2667,-13332.6,101701.4,-115034.0,-1.3709
0.75,0.3,-11037.4,104050.7,-115088.0,-1.346
0.75,0.3333,-8868.5,106232.9,-115101.4,-1.321
0.75,0.3667,-6699.7,108415.1,-115114.8,-1.2961
0.75,0.4,-4530.9,110597.3,-115128.1,-1.2711
0.75,0.4333,-2500.5,112610.4,-115110.9,-1.2461
0.75,0.4667,-470.2,114623.5,-115093.7,-1.221
0.75,0.5,1560.1,116636.6,-115076.5,-1.1959
0.75,0.5333,3464.6,118498.8,-115034.1,-1.1701
0.75,0.5667,5369.2,120361.0,-114991.8,-1.1444
0.75,0.6,7273.8,122223.2,-114949.5,-1.1186
0.75,0.6333,9038.2,123924.0,-114885.9,-1.0932
0.75,0.6667,10802.6,125624.9,-114822.2,-1.0678
0.75,0.7,12567.0,127325.7,-114758.6,-1.0425
0.75,0.7333,14196.4,128868.4,-114672.0,-1.0178
0.75,0.7667,15825.8,130411.1,-114585.3,-0.9931
0.75,0.8,17455.2,131953.8,-114498.6,-0.9684
0.75,0.8333,18925.2,133317.4,-114392.1,-0.9461
0.75,0.8667,20395.3,134680.9,-114285.6,-0.9238
0.75,0.9,21865.3,136044.5,-114179.1,-0.9014
0.75,0.9333,23191.1,137247.6,-114056.5,-0.8799
0.75,0.9667,24516.9,138450.8,-113933.9,-0.8584
0.75,1.0,25842.7,139654.0,-113811.3,-0.8368
